direction,chrf++,spBLEU(spm-200),spBLEU(spm-100)
ace_Arab-ace_Latn,32.2,8.7,9.3
ace_Arab-acm_Arab,19.2,4.3,3.1
ace_Arab-acq_Arab,18.3,6.3,5
ace_Arab-aeb_Arab,22.5,8.2,6.3
ace_Arab-afr_Latn,31.7,11.1,10.9
ace_Arab-ajp_Arab,23.5,9.3,7.2
ace_Arab-aka_Latn,22.6,4.7,6.4
ace_Arab-als_Latn,30.6,11.1,11
ace_Arab-amh_Ethi,17,9.7,10.7
ace_Arab-apc_Arab,24.4,10.4,8.3
ace_Arab-arb_Arab,27.3,13,10.4
ace_Arab-ars_Arab,20.1,7.8,6.4
ace_Arab-ary_Arab,23.5,9,6.5
ace_Arab-arz_Arab,25.3,11,8.8
ace_Arab-asm_Beng,20.3,9.3,11.4
ace_Arab-ast_Latn,29.8,10.2,10.9
ace_Arab-awa_Deva,22.8,8.7,10.5
ace_Arab-ayr_Latn,24.1,4,6.3
ace_Arab-azb_Arab,17.2,2.3,2.1
ace_Arab-azj_Latn,24.9,8.4,7.1
ace_Arab-bak_Cyrl,25.7,9.8,16.4
ace_Arab-bam_Latn,21.6,3.4,4.7
ace_Arab-ban_Latn,30.5,7.8,8.8
ace_Arab-bel_Cyrl,23.8,9.5,8
ace_Arab-bem_Latn,25.5,4.7,5.6
ace_Arab-ben_Beng,25.1,12.6,13.3
ace_Arab-bho_Deva,24.2,8.7,10.1
ace_Arab-bjn_Arab,17.2,5.7,5.7
ace_Arab-bjn_Latn,31.3,8.6,8.7
ace_Arab-bod_Tibt,21.6,3.2,0.9
ace_Arab-bos_Latn,28.9,10.2,9.3
ace_Arab-bug_Latn,25.1,4.5,5.3
ace_Arab-bul_Cyrl,30.4,13.3,12.1
ace_Arab-cat_Latn,32.2,13.9,14
ace_Arab-ceb_Latn,35.3,12.8,13.1
ace_Arab-ces_Latn,27.1,10.8,9.9
ace_Arab-cjk_Latn,19.7,1.9,2
ace_Arab-ckb_Arab,25.7,8.1,9
ace_Arab-crh_Latn,25.3,7.8,8.9
ace_Arab-cym_Latn,31,15.2,15.3
ace_Arab-dan_Latn,31.9,12.1,11.8
ace_Arab-deu_Latn,30.6,11.4,10.6
ace_Arab-dik_Latn,18.8,2.9,3.7
ace_Arab-dyu_Latn,16.6,1.9,1.7
ace_Arab-dzo_Tibt,24.5,5.5,1.9
ace_Arab-ell_Grek,27.1,13.3,11.6
ace_Arab-eng_Latn,35.7,15.4,15.2
ace_Arab-epo_Latn,31.3,11.7,12.2
ace_Arab-est_Latn,28.7,9.7,9.4
ace_Arab-eus_Latn,28.9,9.6,9.6
